緯度の整数部分（度）,緯度の小数部分（分）,経度の整数部分（度）,緯度の小数部分(分),震央地名
34,59,135,16,兵庫県南東部
34,59,135,19,兵庫県南東部
34,59,135,20,兵庫県南東部
34,59,135,21,兵庫県南東部
34,59,135,22,大阪府北部
34,59,135,23,大阪府北部
34,59,135,24,大阪府北部
34,59,135,25,大阪府北部
34,59,135,26,大阪府北部
34,59,135,27,大阪府北部
34,59,135,28,大阪府北部
34,59,135,29,大阪府北部
34,59,135,30,京都府南部
34,59,135,31,京都府南部
34,59,135,32,京都府南部
34,59,135,33,京都府南部
34,59,135,34,京都府南部
34,59,135,35,京都府南部
34,59,135,36,京都府南部
34,59,135,37,京都府南部
34,59,135,38,京都府南部
34,59,135,39,京都府南部
34,59,135,40,京都府南部
34,59,135,41,京都府南部
34,59,135,42,京都府南部
34,59,135,43,京都府南部
34,59,135,44,京都府南部
34,59,135,45,京都府南部
34,59,135,49,京都府南部
34,59,135,53,滋賀県南部
34,59,136,0,滋賀県南部
34,59,136,2,滋賀県南部
34,59,136,4,滋賀県南部
34,59,136,26,三重県北部
34,59,136,27,三重県北部
34,59,136,28,三重県北部
34,59,136,29,三重県北部
34,59,136,30,三重県北部
34,59,136,31,三重県北部
34,59,136,33,三重県北部
34,59,136,34,三重県北部
34,59,136,35,三重県北部
34,59,136,37,三重県北部
34,59,136,39,三重県北部
34,59,136,40,三重県北部
34,59,136,41,伊勢湾
34,59,136,42,伊勢湾
34,59,136,44,伊勢湾
34,59,136,46,伊勢湾
34,59,136,47,伊勢湾
34,59,136,49,伊勢湾
34,59,136,50,伊勢湾
34,59,136,51,愛知県西部
34,59,136,52,愛知県西部
34,59,136,54,愛知県西部
34,59,136,55,愛知県西部
34,59,136,59,愛知県西部
34,59,137,0,愛知県西部
34,59,137,1,愛知県西部
34,59,137,2,愛知県西部
34,59,137,3,愛知県西部
34,59,137,4,愛知県西部
34,59,137,5,愛知県西部
34,59,137,6,愛知県西部
34,59,137,7,愛知県西部
34,59,137,8,愛知県西部
34,59,137,11,愛知県西部
34,59,137,12,愛知県西部
34,59,137,13,愛知県西部
34,59,137,14,愛知県西部
34,59,137,15,愛知県西部
34,59,137,17,愛知県西部
34,59,137,18,愛知県西部
34,59,137,19,愛知県西部
34,59,137,20,愛知県西部
34,59,137,21,愛知県西部
34,59,137,22,愛知県西部
34,59,137,23,愛知県西部
34,59,137,24,愛知県東部
34,59,137,25,愛知県東部
34,59,137,26,愛知県東部
34,59,137,27,愛知県東部
34,59,137,30,愛知県東部
34,59,137,31,愛知県東部
34,59,137,32,愛知県東部
34,59,137,33,愛知県東部
34,59,137,34,愛知県東部
34,59,137,38,愛知県東部
34,59,137,39,愛知県東部
34,59,137,40,愛知県東部
34,59,137,41,愛知県東部
34,59,137,42,愛知県東部
34,59,137,43,静岡県西部
34,59,137,44,静岡県西部
34,59,137,45,静岡県西部
34,59,137,46,静岡県西部
34,59,137,47,静岡県西部
34,59,137,48,静岡県西部
34,59,137,49,静岡県西部
34,59,137,50,静岡県西部
34,59,137,51,静岡県西部
34,59,137,52,静岡県西部
34,59,137,53,静岡県西部
34,59,137,55,静岡県西部
34,59,137,56,静岡県西部
34,59,137,57,静岡県西部
34,59,137,58,静岡県西部
34,59,137,59,静岡県西部
34,59,138,3,静岡県中部
34,59,138,4,静岡県中部
34,59,138,6,静岡県中部
34,59,138,7,静岡県中部
34,59,138,8,静岡県中部
34,59,138,9,静岡県中部
34,59,138,10,静岡県中部
34,59,138,11,静岡県中部
34,59,138,12,静岡県中部
34,59,138,13,静岡県中部
34,59,138,14,静岡県中部
34,59,138,15,静岡県中部
34,59,138,16,静岡県中部
34,59,138,17,静岡県中部
34,59,138,18,静岡県中部
34,59,138,19,静岡県中部
34,59,138,20,静岡県中部
34,59,138,21,静岡県中部
34,59,138,22,静岡県中部
34,59,138,23,静岡県中部
34,59,138,24,静岡県中部
34,59,138,25,静岡県中部
34,59,138,26,静岡県中部
34,59,138,29,静岡県中部
34,59,138,37,駿河湾
34,59,138,58,静岡県伊豆地方
34,59,139,0,静岡県伊豆地方
34,59,139,1,静岡県伊豆地方
34,59,139,2,静岡県伊豆地方
34,59,139,3,静岡県伊豆地方
34,59,139,4,静岡県伊豆地方
34,59,139,5,静岡県伊豆地方
34,59,139,6,伊豆半島東方沖
34,59,139,7,伊豆半島東方沖
34,59,139,8,伊豆半島東方沖
34,59,139,9,伊豆半島東方沖
34,59,139,10,伊豆半島東方沖
34,59,139,14,伊豆半島東方沖
34,59,139,20,伊豆半島東方沖
34,59,139,21,伊豆大島近海
34,59,139,22,伊豆大島近海
34,59,139,29,伊豆大島近海
34,59,139,35,伊豆大島近海
34,59,139,37,伊豆大島近海
34,59,139,38,伊豆大島近海
34,59,139,39,伊豆大島近海
34,59,139,40,伊豆大島近海
34,59,139,42,伊豆大島近海
34,59,139,43,東京湾
34,59,139,45,東京湾
34,59,139,47,東京湾
34,59,139,50,千葉県南部
34,59,139,51,千葉県南部
34,59,139,53,千葉県南部
34,59,139,54,千葉県南部
34,59,139,55,千葉県南部
34,59,139,56,千葉県南部
34,59,139,57,千葉県南部
34,59,139,58,千葉県南部
34,59,140,1,千葉県南東沖
34,59,140,2,千葉県南東沖
34,59,140,3,千葉県南東沖
34,59,140,4,千葉県南東沖
34,59,140,5,千葉県南東沖
34,59,140,6,千葉県南東沖
34,59,140,7,千葉県南東沖
34,59,140,8,千葉県南東沖
34,59,140,11,千葉県南東沖
34,59,140,12,千葉県南東沖
34,59,140,13,千葉県南東沖
34,59,140,14,千葉県南東沖
34,59,140,15,千葉県南東沖
34,59,140,16,千葉県南東沖
34,59,140,19,千葉県南東沖
34,59,140,23,千葉県南東沖
34,59,140,24,千葉県南東沖
34,59,140,35,千葉県南東沖
34,59,140,38,千葉県南東沖
34,59,140,40,千葉県南東沖
34,59,140,42,千葉県南東沖
34,59,140,43,千葉県南東沖
34,59,140,56,千葉県東方沖
34,59,141,0,千葉県東方沖
34,59,141,16,千葉県東方沖
34,59,141,18,千葉県東方沖
34,59,141,20,千葉県東方沖
34,59,141,21,千葉県東方沖
34,59,141,22,千葉県東方沖
34,59,141,40,関東東方沖
34,59,141,47,関東東方沖
34,59,141,48,関東東方沖
34,59,142,15,関東東方沖
34,59,142,21,関東東方沖
34,59,142,31,関東東方沖
34,59,142,32,関東東方沖
34,59,142,33,関東東方沖
34,59,142,37,関東東方沖
34,59,142,56,関東東方沖
34,59,143,2,関東東方沖
34,59,143,4,関東東方沖
34,59,143,5,関東東方沖
34,59,143,6,関東東方沖
34,59,143,7,関東東方沖
34,59,143,8,関東東方沖
34,59,143,11,関東東方沖
35,0,128,29,朝鮮半島南部
35,0,131,6,山口県北西沖
35,0,131,31,島根県沖
35,0,131,34,島根県沖
35,0,131,36,島根県沖
35,0,131,42,島根県沖
35,0,131,43,島根県沖
35,0,131,45,島根県沖
35,0,131,52,島根県沖
35,0,131,53,島根県沖
35,0,131,56,島根県沖
35,0,131,57,島根県沖
35,0,132,6,島根県沖
35,0,132,9,島根県沖
35,0,132,13,島根県西部
35,0,132,14,島根県西部
35,0,132,16,島根県西部
35,0,132,17,島根県西部
35,0,132,18,島根県西部
35,0,132,19,島根県西部
35,0,132,20,島根県西部
35,0,132,21,島根県西部
35,0,132,22,島根県西部
35,0,132,23,島根県西部
35,0,132,24,島根県西部
35,0,132,25,島根県西部
35,0,132,28,島根県西部
35,0,132,32,島根県西部
35,0,132,34,島根県西部
35,0,132,36,島根県西部
35,0,132,37,島根県西部
35,0,132,39,島根県西部
35,0,132,40,島根県東部
35,0,132,41,島根県東部
35,0,132,42,島根県東部
35,0,132,43,島根県東部
35,0,132,44,島根県東部
35,0,132,45,島根県東部
35,0,132,46,島根県東部
35,0,132,47,島根県東部
35,0,132,48,広島県北部
35,0,132,49,広島県北部
35,0,132,50,広島県北部
35,0,132,51,広島県北部
35,0,132,52,広島県北部
35,0,132,53,広島県北部
35,0,132,55,広島県北部
35,0,132,56,広島県北部
35,0,132,57,広島県北部
35,0,132,58,広島県北部
35,0,133,1,広島県北部
35,0,133,3,広島県北部
35,0,133,4,広島県北部
35,0,133,5,広島県北部
35,0,133,52,岡山県北部
35,0,134,0,岡山県北部
35,0,134,1,岡山県北部
35,0,134,4,岡山県北部
35,0,134,5,岡山県北部
35,0,134,9,岡山県北部
35,0,134,10,岡山県北部
35,0,134,18,兵庫県南西部
35,0,134,19,兵庫県南西部
35,0,134,20,兵庫県南西部
35,0,134,21,兵庫県南西部
35,0,134,22,兵庫県南西部
35,0,134,23,兵庫県南西部
35,0,134,24,兵庫県南西部
35,0,134,25,兵庫県南西部
35,0,134,26,兵庫県南西部
35,0,134,27,兵庫県南西部
35,0,134,28,兵庫県南西部
35,0,134,29,兵庫県南西部
35,0,134,30,兵庫県南西部
35,0,134,33,兵庫県南西部
35,0,134,34,兵庫県南西部
35,0,134,35,兵庫県南西部
35,0,134,36,兵庫県南西部
35,0,134,38,兵庫県南西部
35,0,134,39,兵庫県南西部
35,0,134,40,兵庫県南西部
35,0,134,45,兵庫県南西部
35,0,134,58,兵庫県南東部
35,0,135,6,兵庫県南東部
35,0,135,7,兵庫県南東部
35,0,135,9,兵庫県南東部
35,0,135,12,兵庫県南東部
35,0,135,17,兵庫県南東部
35,0,135,18,兵庫県南東部
35,0,135,19,兵庫県南東部
35,0,135,20,兵庫県南東部
35,0,135,21,兵庫県南東部
35,0,135,23,大阪府北部
35,0,135,25,大阪府北部
35,0,135,26,大阪府北部
35,0,135,27,大阪府北部
35,0,135,28,京都府南部
35,0,135,29,京都府南部
35,0,135,30,京都府南部
35,0,135,31,京都府南部
35,0,135,32,京都府南部
35,0,135,33,京都府南部
35,0,135,34,京都府南部
35,0,135,35,京都府南部
35,0,135,36,京都府南部
35,0,135,37,京都府南部
35,0,135,38,京都府南部
35,0,135,39,京都府南部
35,0,135,40,京都府南部
35,0,135,41,京都府南部
35,0,135,42,京都府南部
35,0,135,43,京都府南部
35,0,135,44,京都府南部
35,0,135,45,京都府南部
35,0,135,46,京都府南部
35,0,135,50,京都府南部
35,0,135,55,滋賀県南部
35,0,135,56,滋賀県南部
35,0,136,2,滋賀県南部
35,0,136,28,三重県北部
35,0,136,29,三重県北部
35,0,136,30,三重県北部
35,0,136,31,三重県北部
35,0,136,35,三重県北部
35,0,136,36,三重県北部
35,0,136,37,三重県北部
35,0,136,38,三重県北部
35,0,136,39,三重県北部
35,0,136,46,伊勢湾
35,0,136,47,伊勢湾
35,0,136,48,伊勢湾
35,0,136,49,伊勢湾
35,0,136,50,伊勢湾
35,0,136,51,伊勢湾
35,0,136,52,愛知県西部
35,0,136,53,愛知県西部
35,0,136,54,愛知県西部
35,0,136,55,愛知県西部
35,0,136,57,愛知県西部
35,0,137,0,愛知県西部
35,0,137,1,愛知県西部
35,0,137,2,愛知県西部
35,0,137,3,愛知県西部
35,0,137,4,愛知県西部
35,0,137,5,愛知県西部
35,0,137,6,愛知県西部
35,0,137,7,愛知県西部
35,0,137,8,愛知県西部
35,0,137,10,愛知県西部
35,0,137,12,愛知県西部
35,0,137,13,愛知県西部
35,0,137,15,愛知県西部
35,0,137,16,愛知県西部
35,0,137,17,愛知県西部
35,0,137,18,愛知県西部
35,0,137,19,愛知県西部
35,0,137,20,愛知県西部
35,0,137,21,愛知県西部
35,0,137,22,愛知県西部
35,0,137,23,愛知県西部
35,0,137,24,愛知県西部
35,0,137,25,愛知県東部
35,0,137,26,愛知県東部
35,0,137,27,愛知県東部
35,0,137,28,愛知県東部
35,0,137,31,愛知県東部
35,0,137,32,愛知県東部
35,0,137,33,愛知県東部
35,0,137,34,愛知県東部
35,0,137,36,愛知県東部
35,0,137,37,愛知県東部
35,0,137,38,愛知県東部
35,0,137,39,愛知県東部
35,0,137,40,愛知県東部
35,0,137,41,愛知県東部
35,0,137,42,愛知県東部
35,0,137,43,静岡県西部
35,0,137,44,静岡県西部
35,0,137,45,静岡県西部
35,0,137,46,静岡県西部
35,0,137,47,静岡県西部
35,0,137,48,静岡県西部
35,0,137,49,静岡県西部
35,0,137,50,静岡県西部
35,0,137,51,静岡県西部
35,0,137,52,静岡県西部
35,0,137,53,静岡県西部
35,0,137,54,静岡県西部
35,0,137,55,静岡県西部
35,0,137,56,静岡県西部
35,0,137,59,静岡県西部
35,0,138,0,静岡県西部
35,0,138,1,静岡県西部
35,0,138,2,静岡県西部
35,0,138,5,静岡県中部
35,0,138,6,静岡県中部
35,0,138,7,静岡県中部
35,0,138,8,静岡県中部
35,0,138,9,静岡県中部
35,0,138,10,静岡県中部
35,0,138,12,静岡県中部
35,0,138,13,静岡県中部
35,0,138,14,静岡県中部
35,0,138,15,静岡県中部
35,0,138,16,静岡県中部
35,0,138,17,静岡県中部
35,0,138,18,静岡県中部
35,0,138,19,静岡県中部
35,0,138,20,静岡県中部
35,0,138,21,静岡県中部
35,0,138,23,静岡県中部
35,0,138,24,静岡県中部
35,0,138,25,静岡県中部
35,0,138,28,静岡県中部
35,0,138,30,静岡県中部
35,0,138,37,駿河湾
35,0,139,1,静岡県伊豆地方
35,0,139,2,静岡県伊豆地方
35,0,139,3,静岡県伊豆地方
35,0,139,4,静岡県伊豆地方
35,0,139,5,静岡県伊豆地方
35,0,139,6,伊豆半島東方沖
35,0,139,7,伊豆半島東方沖
35,0,139,8,伊豆半島東方沖
35,0,139,9,伊豆半島東方沖
35,0,139,10,伊豆半島東方沖
35,0,139,11,伊豆半島東方沖
35,0,139,15,伊豆半島東方沖
35,0,139,21,伊豆大島近海
35,0,139,22,伊豆大島近海
35,0,139,23,伊豆大島近海
35,0,139,27,伊豆大島近海
35,0,139,28,伊豆大島近海
35,0,139,29,伊豆大島近海
35,0,139,32,伊豆大島近海
35,0,139,36,伊豆大島近海
35,0,139,38,伊豆大島近海
35,0,139,40,伊豆大島近海
35,0,139,41,伊豆大島近海
35,0,139,44,東京湾
35,0,139,45,東京湾
35,0,139,46,東京湾
35,0,139,47,東京湾
35,0,139,49,東京湾
35,0,139,50,東京湾
35,0,139,51,東京湾
35,0,139,52,千葉県南部
35,0,139,53,千葉県南部
35,0,139,55,千葉県南部
35,0,139,56,千葉県南部
35,0,139,58,千葉県南部
35,0,139,59,千葉県南東沖
35,0,140,0,千葉県南東沖
35,0,140,1,千葉県南東沖
35,0,140,2,千葉県南東沖
35,0,140,4,千葉県南東沖
35,0,140,5,千葉県南東沖
35,0,140,6,千葉県南東沖
35,0,140,7,千葉県南東沖
35,0,140,8,千葉県南東沖
35,0,140,11,千葉県南東沖
35,0,140,12,千葉県南東沖
35,0,140,13,千葉県南東沖
35,0,140,14,千葉県南東沖
35,0,140,19,千葉県南東沖
35,0,140,20,千葉県南東沖
35,0,140,21,千葉県南東沖
35,0,140,23,千葉県南東沖
35,0,140,32,千葉県南東沖
35,0,140,33,千葉県南東沖
35,0,140,36,千葉県南東沖
35,0,140,37,千葉県南東沖
35,0,140,38,千葉県南東沖
35,0,141,8,千葉県東方沖
35,0,141,14,千葉県東方沖
35,0,141,15,千葉県東方沖
35,0,141,16,千葉県東方沖
35,0,141,21,千葉県東方沖
35,0,141,34,千葉県東方沖
35,0,141,41,関東東方沖
35,0,142,37,関東東方沖
35,0,143,1,関東東方沖
35,0,143,2,関東東方沖
35,0,143,3,関東東方沖
35,0,143,4,関東東方沖
35,0,143,5,関東東方沖
35,0,143,6,関東東方沖
35,0,143,9,関東東方沖
35,0,143,10,関東東方沖
35,0,144,2,関東東方沖
35,0,144,36,関東東方沖
35,1,128,28,朝鮮半島南部
35,1,129,35,福岡県北西沖
35,1,129,38,福岡県北西沖
35,1,130,51,山口県北西沖
35,1,131,22,山口県北西沖
35,1,131,31,島根県沖
35,1,131,36,島根県沖
35,1,131,40,島根県沖
35,1,131,43,島根県沖
35,1,131,45,島根県沖
35,1,131,46,島根県沖
35,1,131,50,島根県沖
35,1,131,56,島根県沖
35,1,132,6,島根県沖
35,1,132,8,島根県沖
35,1,132,11,島根県沖
35,1,132,14,島根県西部
35,1,132,15,島根県西部
35,1,132,16,島根県西部
35,1,132,17,島根県西部
35,1,132,18,島根県西部
35,1,132,19,島根県西部
35,1,132,20,島根県西部
35,1,132,21,島根県西部
35,1,132,22,島根県西部
35,1,132,23,島根県西部
35,1,132,24,島根県西部
35,1,132,25,島根県西部
35,1,132,26,島根県西部
35,1,132,27,島根県西部
35,1,132,28,島根県西部
35,1,132,33,島根県西部
35,1,132,35,島根県西部
35,1,132,37,島根県西部
35,1,132,38,島根県西部
35,1,132,40,島根県西部
35,1,132,41,島根県西部
35,1,132,42,島根県東部
35,1,132,43,島根県東部
35,1,132,44,島根県東部
35,1,132,45,島根県東部
35,1,132,46,島根県東部
35,1,132,47,島根県東部
35,1,132,49,広島県北部
35,1,132,50,広島県北部
35,1,132,51,広島県北部
35,1,132,53,広島県北部
35,1,132,54,広島県北部
35,1,132,55,広島県北部
35,1,132,56,広島県北部
35,1,132,57,広島県北部
35,1,132,58,広島県北部
35,1,133,4,広島県北部
35,1,133,5,広島県北部
35,1,133,6,広島県北部
35,1,134,1,岡山県北部
35,1,134,11,岡山県北部
35,1,134,14,岡山県北部
35,1,134,18,兵庫県南西部
35,1,134,19,兵庫県南西部
35,1,134,20,兵庫県南西部
35,1,134,21,兵庫県南西部
35,1,134,22,兵庫県南西部
35,1,134,26,兵庫県南西部
35,1,134,27,兵庫県南西部
35,1,134,28,兵庫県南西部
35,1,134,29,兵庫県南西部
35,1,134,30,兵庫県南西部
35,1,134,32,兵庫県南西部
35,1,134,33,兵庫県南西部
35,1,134,36,兵庫県南西部
35,1,134,40,兵庫県南西部
35,1,134,43,兵庫県南西部
35,1,134,45,兵庫県南西部
35,1,134,46,兵庫県南西部
35,1,135,5,兵庫県南東部
35,1,135,6,兵庫県南東部
35,1,135,7,兵庫県南東部
35,1,135,9,兵庫県南東部
35,1,135,10,兵庫県南東部
35,1,135,17,兵庫県南東部
35,1,135,19,兵庫県南東部
35,1,135,20,兵庫県南東部
35,1,135,21,兵庫県南東部
35,1,135,22,大阪府北部
35,1,135,23,京都府南部
35,1,135,26,京都府南部
35,1,135,27,京都府南部
35,1,135,29,京都府南部
35,1,135,30,京都府南部
35,1,135,31,京都府南部
35,1,135,32,京都府南部
35,1,135,33,京都府南部
35,1,135,34,京都府南部
35,1,135,35,京都府南部
35,1,135,36,京都府南部
35,1,135,37,京都府南部
35,1,135,38,京都府南部
35,1,135,39,京都府南部
35,1,135,40,京都府南部
35,1,135,42,京都府南部
35,1,135,44,京都府南部
35,1,135,45,京都府南部
35,1,135,46,京都府南部
35,1,135,50,京都府南部
35,1,135,51,滋賀県南部
35,1,135,53,滋賀県南部
35,1,135,54,滋賀県南部
35,1,135,56,滋賀県南部
35,1,136,1,滋賀県南部
35,1,136,24,滋賀県南部
35,1,136,28,三重県北部
35,1,136,29,三重県北部
35,1,136,30,三重県北部
35,1,136,31,三重県北部
35,1,136,32,三重県北部
35,1,136,33,三重県北部
35,1,136,34,三重県北部
35,1,136,35,三重県北部
35,1,136,37,三重県北部
35,1,136,38,三重県北部
35,1,136,39,三重県北部
35,1,136,40,三重県北部
35,1,136,41,三重県北部
35,1,136,48,伊勢湾
35,1,136,49,伊勢湾
35,1,136,50,伊勢湾
35,1,136,51,伊勢湾
35,1,136,52,愛知県西部
35,1,136,53,愛知県西部
35,1,136,57,愛知県西部
35,1,136,58,愛知県西部
35,1,136,59,愛知県西部
35,1,137,0,愛知県西部
35,1,137,1,愛知県西部
35,1,137,2,愛知県西部
35,1,137,3,愛知県西部
35,1,137,4,愛知県西部
35,1,137,5,愛知県西部
35,1,137,6,愛知県西部
35,1,137,7,愛知県西部
35,1,137,10,愛知県西部
35,1,137,12,愛知県西部
35,1,137,13,愛知県西部
35,1,137,14,愛知県西部
35,1,137,15,愛知県西部
35,1,137,16,愛知県西部
35,1,137,17,愛知県西部
35,1,137,18,愛知県西部
35,1,137,19,愛知県西部
35,1,137,20,愛知県西部
35,1,137,21,愛知県西部
35,1,137,22,愛知県西部
35,1,137,23,愛知県西部
35,1,137,24,愛知県西部
35,1,137,25,愛知県西部
35,1,137,26,愛知県東部
35,1,137,27,愛知県東部
35,1,137,28,愛知県東部
35,1,137,29,愛知県東部
35,1,137,30,愛知県東部
35,1,137,31,愛知県東部
35,1,137,32,愛知県東部
35,1,137,33,愛知県東部
35,1,137,34,愛知県東部
35,1,137,35,愛知県東部
35,1,137,36,愛知県東部
35,1,137,37,愛知県東部
35,1,137,38,愛知県東部
35,1,137,39,愛知県東部
35,1,137,40,愛知県東部
35,1,137,41,愛知県東部
35,1,137,42,愛知県東部
35,1,137,45,静岡県西部
35,1,137,46,静岡県西部
35,1,137,47,静岡県西部
35,1,137,48,静岡県西部
35,1,137,49,静岡県西部
35,1,137,50,静岡県西部
35,1,137,51,静岡県西部
35,1,137,52,静岡県西部
35,1,137,53,静岡県西部
35,1,137,54,静岡県西部
35,1,137,55,静岡県西部
35,1,137,56,静岡県西部
35,1,137,57,静岡県西部
35,1,137,58,静岡県西部
35,1,137,59,静岡県西部
35,1,138,0,静岡県西部
35,1,138,1,静岡県西部
35,1,138,2,静岡県中部
35,1,138,3,静岡県中部
35,1,138,4,静岡県中部
35,1,138,6,静岡県中部
35,1,138,7,静岡県中部
35,1,138,8,静岡県中部
35,1,138,9,静岡県中部
35,1,138,11,静岡県中部
35,1,138,12,静岡県中部
35,1,138,13,静岡県中部
35,1,138,14,静岡県中部
35,1,138,15,静岡県中部
35,1,138,16,静岡県中部
35,1,138,17,静岡県中部
35,1,138,18,静岡県中部
35,1,138,19,静岡県中部
35,1,138,20,静岡県中部
35,1,138,21,静岡県中部
35,1,138,22,静岡県中部
35,1,138,23,静岡県中部
35,1,138,24,静岡県中部
35,1,138,25,静岡県中部
35,1,138,26,静岡県中部
35,1,138,27,静岡県中部
35,1,138,28,静岡県中部
35,1,138,29,静岡県中部
35,1,138,31,駿河湾
35,1,138,32,駿河湾
35,1,138,57,静岡県伊豆地方
35,1,138,59,静岡県伊豆地方
35,1,139,0,静岡県伊豆地方
35,1,139,1,静岡県伊豆地方
35,1,139,2,静岡県伊豆地方
35,1,139,3,静岡県伊豆地方
35,1,139,4,静岡県伊豆地方
35,1,139,5,静岡県伊豆地方
35,1,139,6,静岡県伊豆地方
35,1,139,7,伊豆半島東方沖
35,1,139,8,伊豆半島東方沖
35,1,139,9,伊豆半島東方沖
35,1,139,15,伊豆半島東方沖
35,1,139,16,伊豆半島東方沖
35,1,139,18,伊豆半島東方沖
35,1,139,20,伊豆半島東方沖
35,1,139,22,伊豆大島近海
35,1,139,24,伊豆大島近海
35,1,139,25,伊豆大島近海
35,1,139,26,伊豆大島近海
35,1,139,31,伊豆大島近海
35,1,139,33,伊豆大島近海
35,1,139,34,伊豆大島近海
35,1,139,35,伊豆大島近海
35,1,139,36,伊豆大島近海
35,1,139,38,伊豆大島近海
35,1,139,40,伊豆大島近海
35,1,139,41,東京湾
35,1,139,42,東京湾
35,1,139,43,東京湾
35,1,139,44,東京湾
35,1,139,45,東京湾
35,1,139,46,東京湾
35,1,139,48,東京湾
35,1,139,50,東京湾
35,1,139,51,東京湾
35,1,139,52,千葉県南部
35,1,139,54,千葉県南部
35,1,139,58,千葉県南部
35,1,139,59,千葉県南部
35,1,140,0,千葉県南東沖
35,1,140,1,千葉県南東沖
35,1,140,2,千葉県南東沖
35,1,140,3,千葉県南東沖
35,1,140,6,千葉県南東沖
35,1,140,7,千葉県南東沖
35,1,140,8,千葉県南東沖
35,1,140,11,千葉県南東沖
35,1,140,12,千葉県南東沖
35,1,140,14,千葉県南東沖
35,1,140,15,千葉県南東沖
35,1,140,20,千葉県南東沖
35,1,140,39,千葉県南東沖
35,1,140,40,千葉県南東沖
35,1,140,41,千葉県南東沖
35,1,140,48,千葉県東方沖
35,1,140,51,千葉県東方沖
35,1,140,53,千葉県東方沖
35,1,140,55,千葉県東方沖
35,1,141,12,千葉県東方沖
35,1,141,14,千葉県東方沖
35,1,141,15,千葉県東方沖
35,1,141,18,千葉県東方沖
35,1,141,31,千葉県東方沖
35,1,141,37,関東東方沖
35,1,141,38,関東東方沖
35,1,141,41,関東東方沖
35,1,141,42,関東東方沖
35,1,141,53,関東東方沖
35,1,141,54,関東東方沖
35,1,142,1,関東東方沖
35,1,142,15,関東東方沖
35,1,142,16,関東東方沖
35,1,142,53,関東東方沖
35,1,143,1,関東東方沖
35,1,143,3,関東東方沖
35,1,143,6,関東東方沖
35,1,143,10,関東東方沖
35,2,126,44,朝鮮半島南部
35,2,128,27,朝鮮半島南部
35,2,128,44,朝鮮半島南部
35,2,129,44,福岡県北西沖
35,2,130,53,山口県北西沖
35,2,131,38,島根県沖
35,2,132,5,島根県沖
35,2,132,11,島根県沖
35,2,132,12,島根県沖
35,2,132,14,島根県沖
35,2,132,15,島根県西部
35,2,132,16,島根県西部
35,2,132,19,島根県西部
35,2,132,23,島根県西部
35,2,132,24,島根県西部
35,2,132,25,島根県西部
35,2,132,26,島根県西部
35,2,132,27,島根県西部
35,2,132,28,島根県西部
35,2,132,29,島根県西部
35,2,132,32,島根県西部
35,2,132,33,島根県西部
35,2,132,35,島根県西部
35,2,132,36,島根県西部
35,2,132,37,島根県西部
35,2,132,38,島根県西部
35,2,132,39,島根県西部
35,2,132,40,島根県西部
35,2,132,41,島根県西部
35,2,132,42,島根県西部
35,2,132,43,島根県東部
35,2,132,44,島根県東部
35,2,132,45,島根県東部
35,2,132,46,島根県東部
35,2,132,47,島根県東部
35,2,132,48,島根県東部
35,2,132,49,広島県北部
35,2,132,53,広島県北部
35,2,132,54,広島県北部
35,2,132,57,広島県北部
35,2,133,2,広島県北部
35,2,133,3,広島県北部
35,2,133,4,広島県北部
35,2,133,5,広島県北部
35,2,133,39,岡山県北部
35,2,133,41,岡山県北部
35,2,133,53,岡山県北部
35,2,134,10,岡山県北部
35,2,134,11,岡山県北部
35,2,134,21,兵庫県南西部
35,2,134,24,兵庫県南西部
35,2,134,25,兵庫県南西部
35,2,134,26,兵庫県南西部
35,2,134,29,兵庫県南西部
35,2,134,30,兵庫県南西部
35,2,134,31,兵庫県南西部
35,2,134,32,兵庫県南西部
35,2,134,33,兵庫県南西部
35,2,134,35,兵庫県南西部
35,2,134,44,兵庫県南西部
35,2,134,45,兵庫県南西部
35,2,134,46,兵庫県南西部
35,2,134,48,兵庫県南西部
35,2,134,54,兵庫県南東部
35,2,134,59,兵庫県南東部
35,2,135,0,兵庫県南東部
35,2,135,5,兵庫県南東部
35,2,135,6,兵庫県南東部
35,2,135,7,兵庫県南東部
35,2,135,10,兵庫県南東部
35,2,135,11,兵庫県南東部
35,2,135,12,兵庫県南東部
35,2,135,15,兵庫県南東部
35,2,135,16,兵庫県南東部
35,2,135,18,兵庫県南東部
35,2,135,19,兵庫県南東部
35,2,135,20,兵庫県南東部
35,2,135,22,大阪府北部
35,2,135,24,京都府南部
35,2,135,25,京都府南部
35,2,135,27,京都府南部
35,2,135,28,京都府南部
35,2,135,29,京都府南部
35,2,135,31,京都府南部
35,2,135,32,京都府南部
35,2,135,33,京都府南部
35,2,135,34,京都府南部
35,2,135,35,京都府南部
35,2,135,36,京都府南部
35,2,135,37,京都府南部
35,2,135,38,京都府南部
35,2,135,40,京都府南部
35,2,135,41,京都府南部
35,2,135,42,京都府南部
35,2,135,43,京都府南部
35,2,135,45,京都府南部
35,2,135,46,京都府南部
35,2,135,48,京都府南部
35,2,135,49,京都府南部
35,2,135,50,滋賀県南部
35,2,135,52,滋賀県南部
35,2,135,53,滋賀県南部
35,2,135,54,滋賀県南部
35,2,135,59,滋賀県南部
35,2,136,1,滋賀県南部
35,2,136,2,滋賀県南部
35,2,136,5,滋賀県南部
35,2,136,25,滋賀県南部
